factor_name,factor_expression
pool_factor_0200,"-SIGN(TS_MEAN($return,5)) * (($high - $low) / (TS_MEAN($high - $low, 14) + 1e-8)) / (TS_MEAN($volume, 5) / (TS_MEAN($volume, 20) + 1e-8) + 1e-8)"
pool_factor_0201,"(DELAY($close, 1) - $open) / TS_MEAN(MAX(MAX($high - $low, ABS($high - DELAY($close, 1))), ABS($low - DELAY($close, 1))), 20)"
pool_factor_0202,"-SIGN($open - DELAY($close,1)) * (ABS($open - DELAY($close,1)) / TS_MEAN(MAX($high - $low, ABS($high - DELAY($close,1)), ABS($low - DELAY($close,1))), 20)) * (1 - $volume / TS_MEAN($volume, 5))"
pool_factor_0203,"SIGN(TS_PCTCHANGE($close,5)) * (($high - $low) / (TS_MEAN($high - $low, 14) + 1e-8)) / (TS_MEAN($volume, 5) / (TS_MEAN($volume, 20) + 1e-8) + 1e-8)"
pool_factor_0204,"-SIGN($open - DELAY($close,1)) * (ABS($open - DELAY($close,1)) / TS_MEAN(MAX(MAX($high - $low, ABS($high - DELAY($close,1))), ABS($low - DELAY($close,1))), 20)) * (1 - $volume / TS_MEAN($volume, 5))"
pool_factor_0205,"(-SIGN(TS_MEAN(TS_PCTCHANGE($close, 1), 5))) * TS_ZSCORE($high - $low, 20) / (TS_MEAN($volume, 5) / (TS_MEAN($volume, 20) + 1e-8) + 1e-8)"
pool_factor_0206,"SIGN(TS_PCTCHANGE($close,5)) * ($high - $low) / (TS_MEAN($high - $low, 14) + 1e-8) * (TS_MEAN($volume, 20) + 1e-8) / (TS_MEAN($volume, 5) + 1e-8)"
pool_factor_0207,"-(TS_ZSCORE(($close - $low)/($high - $low + 1e-8), 20) * (TS_RANK($volume, 20) / 20))"
pool_factor_0208,"TS_ZSCORE(TS_SKEW($return, 20), 60)"
pool_factor_0209,"TS_ZSCORE(SUMIF($volume, 20, $return > 0) - SUMIF($volume, 20, $return < 0), 60)"
pool_factor_0210,"TS_ZSCORE(TS_SKEW($return * $volume / (TS_MEAN($volume, 20) + 1e-8), 20), 60)"
pool_factor_0211,"TS_ZSCORE((TS_MEAN(POW($close / DELAY($close, 1) - 1, 3), 20) - 3 * TS_MEAN($close / DELAY($close, 1) - 1, 20) * TS_MEAN(POW($close / DELAY($close, 1) - 1, 2), 20) + 2 * POW(TS_MEAN($close / DELAY($close, 1) - 1, 20), 3)) / POW(TS_STD($close / DELAY($close, 1) - 1, 20), 3), 60)"
pool_factor_0212,"TS_ZSCORE(SUMIF($volume, 20, $close > DELAY($close,1)) - SUMIF($volume, 20, $close < DELAY($close,1)), 60)"
pool_factor_0213,"TS_ZSCORE(TS_MEAN(POW((($close / DELAY($close, 1) - 1) * $volume / (TS_MEAN($volume, 20) + 1e-8) - TS_MEAN(($close / DELAY($close, 1) - 1) * $volume / (TS_MEAN($volume, 20) + 1e-8), 20)), 3), 20) / (POW(TS_STD(($close / DELAY($close, 1) - 1) * $volume / (TS_MEAN($volume, 20) + 1e-8), 20), 3) + 1e-8), 60)"
pool_factor_0214,"RANK(SIGN($open - DELAY($close, 1)) * SIGN($close - $open) * ($volume / TS_MEAN($volume, 20) - 1))"
pool_factor_0215,"RANK(SIGN($open - DELAY($close, 1)) * SIGN($close - $open) * TS_ZSCORE($volume, 20))"
pool_factor_0216,"COUNT((SIGN($open - DELAY($close, 1)) == SIGN($close - $open)) && ($volume > TS_MEAN($volume, 20)), 5)"
pool_factor_0217,"COUNT((SIGN($open - DELAY($close, 1)) * SIGN($close - $open) > 0) && ($volume > TS_MEAN($volume, 20)), 5)"
pool_factor_0218,"TS_ZSCORE(TS_MEAN(POW(TS_ZSCORE(($close / DELAY($close, 1) - 1) * $volume / (TS_MEAN($volume, 20) + 1e-8), 20), 3), 20), 60)"
pool_factor_0219,"TS_ZSCORE(TS_MEAN(POW(($close/DELAY($close,1)-1) - TS_MEAN($close/DELAY($close,1)-1,20), 3), 20) / POW(TS_STD($close/DELAY($close,1)-1, 20), 3), 60)"
pool_factor_0220,"TS_ZSCORE(TS_SKEW(($close / DELAY($close, 1) - 1) * $volume / (TS_MEAN($volume, 20) + 1e-8), 20), 60)"
pool_factor_0221,"TS_ZSCORE(TS_MEAN(POW(($close / DELAY($close, 1) - 1) * $volume / (TS_MEAN($volume, 20) + 1e-8) - TS_MEAN(($close / DELAY($close, 1) - 1) * $volume / (TS_MEAN($volume, 20) + 1e-8), 20), 3), 20) / (POW(TS_STD(($close / DELAY($close, 1) - 1) * $volume / (TS_MEAN($volume, 20) + 1e-8), 20), 3) + 1e-8), 60)"
